Company,Model,MSRP
Chrysler,2019 FIAT 500 Abarth,21990
Chrysler,2019 FIAT 500c,19485
Chrysler,2019 FIAT 500c Abarth,23485
Chrysler,2019 FIAT 500e,34705
Chrysler,2020 FIAT 124 Spider,27880
Chrysler,2020 FIAT 500L,23995
Chrysler,2020 FIAT 500X,26085
Chrysler,2019 Jeep Wrangler Unlimited,33040
Chrysler,2020 Jeep Renegade,25620
Chrysler,2020 Jeep Wrangler,29790
Chrysler,2021 Jeep Cherokee,27785
Chrysler,2021 Jeep Compass,25390
Chrysler,2021 Jeep Gladiator,35060
Chrysler,2021 Jeep Grand Cherokee,35715
Chrysler,2019 Maserati Ghibli,76975
Chrysler,2019 Maserati GranTurismo,152975
Chrysler,2019 Maserati Levante,78385
Chrysler,2019 Maserati Quattroporte,109975
Chrysler,2019 Ram 1500 Classic Regular Cab,29090
Chrysler,2019 Ram 1500 Quad Cab,34535
Chrysler,2019 Ram 2500 Regular Cab,35090
Chrysler,2019 Ram 3500 Mega Cab,49545
Chrysler,2019 Ram 3500 Regular Cab,36790
Chrysler,2020 Ram 1500 Classic Crew Cab,40240
Chrysler,2020 Ram 1500 Classic Quad Cab,33800
Chrysler,2020 Ram 1500 Crew Cab,36640
Chrysler,2020 Ram 2500 Crew Cab,63145
Chrysler,2020 Ram 2500 Mega Cab,48445
Chrysler,2020 Ram 3500 Crew Cab,40345
Chrysler,2020 Ram ProMaster City,26075
Chrysler,2021 Ram ProMaster Cargo Van,33235
Chrysler,2021 Ram ProMaster Window Van,38985
