Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
7/13/2020,331.7999878,358.9979858,294.2219849,299.4119873,194927000,0,0
7/10/2020,279.2000122,309.7839966,275.2019958,308.9299927,116688000,0,0
7/9/2020,279.3980103,281.7120056,270.256012,278.8559875,58588000,0,0
7/8/2020,281,283.4519958,262.2680054,273.1759949,81556500,0,0
7/7/2020,281.0020142,285.8999939,267.3420105,277.9719849,107448500,0,0
7/6/2020,255.3379974,275.5580139,253.2079926,274.3160095,102849500,0,0
7/2/2020,244.2960052,245.6000061,237.1199951,241.7319946,86250500,0,0
7/1/2020,216.6000061,227.0659943,216.1000061,223.9259949,66634500,0,0
6/30/2020,201.3000031,217.5379944,200.7460022,215.9620056,84592500,0,0
6/29/2020,193.802002,202,189.7039948,201.8699951,45132000,0,0
6/26/2020,198.9559937,199,190.973999,191.947998,44274500,0,0
6/25/2020,190.8540039,197.1959991,187.4299927,197.1959991,46272500,0,0
6/24/2020,198.8220062,200.1759949,190.628006,192.1699982,54798000,0,0
6/23/2020,199.776001,202.3999939,198.802002,200.3560028,31826500,0,0
6/22/2020,199.9900055,201.776001,198.0039978,198.8639984,31812000,0,0
6/19/2020,202.5559998,203.1940002,198.2680054,200.1799927,43398500,0,0
6/18/2020,200.6000061,203.8399963,198.8939972,200.7920074,48759500,0,0
6/17/2020,197.5420074,201,196.5140076,198.3580017,49454000,0,0
6/16/2020,202.3699951,202.576004,192.4779968,196.4259949,70255500,0,0
6/15/2020,183.5579987,199.7680054,181.6999969,198.1799927,78486000,0,0
6/12/2020,196,197.595993,182.5200043,187.0559998,83817000,0,0
6/11/2020,198.0399933,203.7920074,194.3999939,194.5679932,79582500,0,0
6/10/2020,198.3760071,205.4960022,196.5,205.0099945,92817000,0,0
6/9/2020,188.0019989,190.8880005,184.7859955,188.1340027,56941000,0,0
6/8/2020,183.8000031,190,181.8320007,189.9839935,70873500,0,0
6/5/2020,175.5679932,177.3040009,173.2400055,177.1320038,39059500,0,0
6/4/2020,177.9759979,179.1499939,171.6880035,172.8760071,44438500,0,0
6/3/2020,177.6239929,179.5879974,176.0200043,176.5919952,7927400,0,0
6/2/2020,178.9400024,181.7319946,174.1999969,176.3119965,13565600,0,0
6/1/2020,171.6000061,179.8000031,170.8200073,179.6199951,14939500,0,0
5/29/2020,161.75,167,160.8419952,167,11812500,0,0
5/28/2020,162.7019958,164.9499969,160.3379974,161.1620026,7255600,0,0
5/27/2020,164.1719971,165.5420074,157,164.0460052,11549500,0,0
5/26/2020,166.8999939,166.9199982,163.1419983,163.7740021,8089700,0,0
5/22/2020,164.4340057,166.3560028,162.3999939,163.3760071,9987500,0,0
5/21/2020,163.1999969,166.5,159.1999969,165.5200043,12254600,0,0
5/20/2020,164.1000061,165.1999969,162.3600006,163.1119995,7309300,0,0
5/19/2020,163.0339966,164.4140015,161.2160034,161.602005,9636500,0,0
5/18/2020,165.5559998,166.9440002,160.776001,162.7259979,11698100,0,0
5/15/2020,158.0700073,161.0099945,157.3099976,159.8339996,10518400,0,0
5/14/2020,156,160.6719971,152.8000031,160.6660004,13682200,0,0
5/13/2020,164.1660004,165.1999969,152.6600037,158.1920013,19065500,0,0
5/12/2020,165.3999939,168.6580048,161.6000061,161.8820038,15906900,0,0
5/11/2020,158.102005,164.8000031,157,162.2579956,16519600,0,0
5/8/2020,158.7539978,164.8000031,157.4019928,163.8840027,16130100,0,0
5/7/2020,155.4420013,159.2799988,154.4700012,156.0079956,11527700,0,0
5/6/2020,155.3000031,157.9600067,152.2220001,156.5160065,11123200,0,0
5/5/2020,157.9579926,159.7839966,152.4360046,153.6419983,16991700,0,0
5/4/2020,140.1999969,152.3999939,139.6000061,152.2380066,19237100,0,0
5/1/2020,151,154.5540009,136.6080017,140.2640076,32531800,0,0
4/30/2020,171.0379944,173.9640045,152.6999969,156.3760071,28471900,0,0
4/29/2020,158.0339966,160.6399994,156.6320038,160.102005,16216000,0,0
4/28/2020,159.128006,161,151.3379974,153.8240051,15222000,0,0
4/27/2020,147.5220032,159.897995,147,159.75,20681400,0,0
4/24/2020,142.1620026,146.1459961,139.6360016,145.0299988,13237600,0,0
4/23/2020,145.5200043,146.8000031,140.6260071,141.1260071,13236700,0,0
4/22/2020,140.7960052,146.8000031,137.7420044,146.4219971,14224800,0,0
4/21/2020,146.0240021,150.6660004,134.7579956,137.3439941,20209100,0,0
4/20/2020,146.5399933,153.1139984,142.4420013,149.2720032,14746600,0,0
4/17/2020,154.4559937,154.9900055,149.5319977,150.7779999,13128200,0,0
4/16/2020,143.3880005,151.8899994,141.3439941,149.0420074,20657900,0,0
4/15/2020,148.3999939,150.6260071,142,145.9660034,23577000,0,0
4/14/2020,139.7940063,148.3760071,138.4859924,141.9779968,30576500,0,0
4/13/2020,118.0319977,130.3999939,116.1060028,130.1900024,22475400,0,0
4/9/2020,112.4179993,115.0360031,111.4219971,114.5999985,13650000,0,0
4/8/2020,110.8399963,111.4420013,106.6660004,109.7679977,12656000,0,0
4/7/2020,109,113,106.4680023,109.0899963,17919800,0,0
4/6/2020,102.2399979,104.1999969,99.59200287,103.2480011,14901800,0,0
4/3/2020,101.9000015,103.0979996,93.6780014,96.0019989,22562100,0,0
4/2/2020,96.20600128,98.85199738,89.27999878,90.89399719,99292000,0,0
4/1/2020,100.8000031,102.7900009,95.01999664,96.31199646,66766000,0,0
3/31/2020,100.25,108.5920029,99.40000153,104.8000031,88857500,0,0
3/30/2020,102.052002,103.3300018,98.2460022,100.4260025,59990500,0,0
3/27/2020,101,105.1600037,98.80599976,102.8720016,71887000,0,0
3/26/2020,109.4779968,112,102.4499969,105.6320038,86903500,0,0
3/25/2020,109.0500031,111.4000015,102.2220001,107.8499985,106113500,0,0
3/24/2020,95.45999908,102.737999,94.80000305,101,114476000,0,0
3/23/2020,86.72000122,88.40000153,82.09999847,86.85800171,82272500,0,0
3/20/2020,87.63999939,95.40000153,85.15799713,85.5059967,141427500,0,0
3/19/2020,74.94000244,90.40000153,71.69200134,85.52799988,150977500,0,0
3/18/2020,77.80000305,80.97200012,70.10199738,72.2440033,118931000,0,0
3/17/2020,88.0019989,94.37000275,79.19999695,86.04000092,119973000,0,0
3/16/2020,93.90000153,98.97399902,88.43399811,89.01399994,102447500,0,0
3/13/2020,119,121.5139999,100.4000015,109.3239975,113201500,0,0
3/12/2020,116.1780014,118.9000015,109.25,112.1100006,94545500,0,0
3/11/2020,128.0399933,130.7160034,122.5999985,126.8460007,66612500,0,0
3/10/2020,131.8860016,133.6000061,121.5999985,129.0659943,77972000,0,0
3/9/2020,121.0780029,132.6000061,121,121.5999985,85368500,0,0
3/6/2020,138,141.3999939,136.8540039,140.6959991,63314500,0,0
3/5/2020,144.7539978,149.1499939,143.6139984,144.9080048,54263500,0,0
3/4/2020,152.7920074,153.3040009,144.9459991,149.8999939,75245000,0,0
3/3/2020,161,161.3959961,143.2220001,149.102005,128920000,0,0
