Manufacturer,Model,MSRP
VW,2021 Volkswagen Atlas,"$32,565 "
VW,2020 Volkswagen Atlas Cross Sport,"$31,565 "
VW,2020 Volkswagen Tiguan,"$25,965 "
VW,2021 Volkswagen Atlas,"$32,565 "
VW,2020 Volkswagen Atlas Cross Sport,"$31,565 "
VW,2020 Volkswagen Tiguan,"$25,965 "
VW,2019 Volkswagen e-Golf,"$39,790 "
VW,2019 Volkswagen Beetle,"$23,940 "
VW,2020 Volkswagen Arteon,"$37,015 "
VW,2019 Volkswagen Beetle,"$23,940 "
VW,2019 Volkswagen e-Golf,"$39,790 "
VW,2020 Volkswagen Golf,"$24,115 "
VW,2020 Volkswagen Golf GTI,"$29,515 "
VW,2019 Volkswagen Golf R,"$41,290 "
VW,2019 Volkswagen Golf Alltrack,"$27,790 "
VW,2019 Volkswagen Golf SportWagen,"$22,790 "
VW,2019 Volkswagen Beetle,"$26,890 "
Porsche,2020 Porsche Panamera,"$88,550 "
Porsche,2020 Porsche Taycan,"$152,250 "
Porsche,2020 Porsche Cayenne,"$68,150 "
Porsche,2020 Porsche Cayenne Coupe,"$76,650 "
Porsche,2020 Porsche Macan,"$52,250 "
Porsche,2020 Porsche Cayenne,"$68,150 "
Porsche,2020 Porsche Cayenne Coupe,"$76,650 "
Porsche,2020 Porsche Macan,"$52,250 "
Porsche,2020 Porsche 718 Boxster,"$62,300 "
Porsche,2020 Porsche 718 Cayman,"$58,850 "
Porsche,2020 Porsche 718 Spyder,"$97,650 "
Porsche,2020 Porsche 911,"$111,550 "
Porsche,2020 Porsche Cayenne,"$68,150 "
Porsche,2020 Porsche Cayenne Coupe,"$76,650 "
Porsche,2020 Porsche Macan,"$52,250 "
Porsche,2020 Porsche Panamera,"$88,550 "
Porsche,2020 Porsche Taycan,"$152,250 "
Porsche,2020 Porsche Cayenne,"$82,450 "
Porsche,2020 Porsche Cayenne Coupe,"$87,750 "
Porsche,2020 Porsche Panamera,"$105,150 "
Porsche,2020 Porsche Cayenne,"$82,450 "
Porsche,2020 Porsche Cayenne Coupe,"$87,750 "
Porsche,2020 Porsche Panamera,"$105,150 "
Porsche,2020 Porsche Taycan,"$152,250 "
Porsche,2020 Porsche 718 Cayman,"$58,850 "
Porsche,2020 Porsche 911,"$98,750 "
Porsche,2020 Porsche 718 Boxster,"$62,300 "
Porsche,2020 Porsche 718 Spyder,"$97,650 "
Porsche,2020 Porsche 911,"$111,550 "
Mercedes,2020 Mercedes-Benz A-Class,"$33,795 "
Mercedes,2020 Mercedes-Benz C-Class,"$42,395 "
